clave_propuesta,archivo,linea,tipo,texto_original,texto_con_marcadores,tiene_interpolacion,duplicado_de_n_sitios
artists-view.mas-informacion,studio/AuraStudio/Sources/AuraStudio/Views/ArtistsView.swift,392,Button,Más información...,Más información...,no,4
artists-view.mas-informacion,studio/AuraStudio/Sources/AuraStudio/Views/MediaSectionView.swift,1093,Button,Más información...,Más información...,no,4
artists-view.mas-informacion,studio/AuraStudio/Sources/AuraStudio/Views/MoviesView.swift,390,Button,Más información...,Más información...,no,4
artists-view.mas-informacion,studio/AuraStudio/Sources/AuraStudio/Views/SeriesView.swift,458,Button,Más información...,Más información...,no,4
artists-view.todavia-no-hay-musica-biblioteca,studio/AuraStudio/Sources/AuraStudio/Views/ArtistsView.swift,180,Text,Todavía no hay música en la biblioteca.,Todavía no hay música en la biblioteca.,no,
aura-studio-app.biblioteca,studio/AuraStudio/Sources/AuraStudio/AuraStudioApp.swift,51,CommandMenu,Biblioteca,Biblioteca,no,
automatic-update-view.listo,studio/AuraStudio/Sources/AuraStudio/Views/AutomaticUpdateView.swift,27,Button,Listo,Listo,no,8
automatic-update-view.listo,studio/AuraStudio/Sources/AuraStudio/Views/LicensesView.swift,28,Button,Listo,Listo,no,8
automatic-update-view.listo,studio/AuraStudio/Sources/AuraStudio/Views/MediaInfoView.swift,323,Button,Listo,Listo,no,8
automatic-update-view.listo,studio/AuraStudio/Sources/AuraStudio/Views/MediaSectionView.swift,857,Text,Listo,Listo,no,8
automatic-update-view.listo,studio/AuraStudio/Sources/AuraStudio/Views/MusicViewOptionsView.swift,42,Button,Listo,Listo,no,8
automatic-update-view.listo,studio/AuraStudio/Sources/AuraStudio/Views/PlaylistsView.swift,42,Button,Listo,Listo,no,8
automatic-update-view.listo,studio/AuraStudio/Sources/AuraStudio/Views/SimilarItemsView.swift,179,Button,Listo,Listo,no,8
automatic-update-view.listo,studio/AuraStudio/Sources/AuraStudio/Views/SyncSheets.swift,93,Button,Listo,Listo,no,8
await-bootloader-u-s-b-view.arranque-grabado,studio/AuraStudio/Sources/AuraStudio/Views/AwaitBootloaderUSBView.swift,18,Text,Arranque grabado,Arranque grabado,no,
await-bootloader-u-s-b-view.bootloader-aura-ya-esta-tu-ipod,studio/AuraStudio/Sources/AuraStudio/Views/AwaitBootloaderUSBView.swift,20,Text,El bootloader de Aura ya está en tu iPod. Ahora falta copiar Aura al disco.,El bootloader de Aura ya está en tu iPod. Ahora falta copiar Aura al disco.,no,
await-bootloader-u-s-b-view.disco-detectado-copiando-aura,studio/AuraStudio/Sources/AuraStudio/Views/AwaitBootloaderUSBView.swift,46,Label,Disco detectado -- copiando Aura...,Disco detectado -- copiando Aura...,no,
await-bootloader-u-s-b-view.esperando-que-ipod-reaparezca-como-disco,studio/AuraStudio/Sources/AuraStudio/Views/AwaitBootloaderUSBView.swift,55,Text,Esperando a que el iPod reaparezca como disco...,Esperando a que el iPod reaparezca como disco...,no,
await-bootloader-u-s-b-view.ipod-aparecio-con-firmware-apple-arranqu,studio/AuraStudio/Sources/AuraStudio/Views/AwaitBootloaderUSBView.swift,42,Label,El iPod apareció con el firmware de Apple -- el arranque no se grabó,El iPod apareció con el firmware de Apple -- el arranque no se grabó,no,
await-bootloader-u-s-b-view.ipod-sigue-dfu-reinicialo-con-select,studio/AuraStudio/Sources/AuraStudio/Views/AwaitBootloaderUSBView.swift,50,Label,El iPod sigue en DFU. Reinícialo con SELECT + MENU.,El iPod sigue en DFU. Reinícialo con SELECT + MENU.,no,
await-bootloader-u-s-b-view.texto,studio/AuraStudio/Sources/AuraStudio/Views/AwaitBootloaderUSBView.swift,68,Text,\(number),%@,sí,3
await-bootloader-u-s-b-view.texto,studio/AuraStudio/Sources/AuraStudio/Views/EnterDFUView.swift,93,Text,\(number),%@,sí,3
await-bootloader-u-s-b-view.texto,studio/AuraStudio/Sources/AuraStudio/Views/RestoreHandoffView.swift,50,Text,\(number),%@,sí,3
back-continue-row.atras,studio/AuraStudio/Sources/AuraStudio/Views/BackContinueRow.swift,18,Button,Atrás,Atrás,no,3
back-continue-row.atras,studio/AuraStudio/Sources/AuraStudio/Views/DetectDeviceView.swift,27,Button,Atrás,Atrás,no,3
back-continue-row.atras,studio/AuraStudio/Sources/AuraStudio/Views/EnterDFUView.swift,49,Button,Atrás,Atrás,no,3
background-task-center-indicator.actividad-segundo-plano,studio/AuraStudio/Sources/AuraStudio/Views/BackgroundTaskCenterIndicator.swift,41,Text,Actividad en segundo plano,Actividad en segundo plano,no,
background-task-center-indicator.cancelar,studio/AuraStudio/Sources/AuraStudio/Views/BackgroundTaskCenterIndicator.swift,81,Button,Cancelar,Cancelar,no,16
background-task-center-indicator.cancelar,studio/AuraStudio/Sources/AuraStudio/Views/BatchMediaInfoView.swift,91,Button,Cancelar,Cancelar,no,16
background-task-center-indicator.cancelar,studio/AuraStudio/Sources/AuraStudio/Views/BatchMediaInfoView.swift,254,Button,Cancelar,Cancelar,no,16
background-task-center-indicator.cancelar,studio/AuraStudio/Sources/AuraStudio/Views/CoverNormalizationBar.swift,28,Button,Cancelar,Cancelar,no,16
background-task-center-indicator.cancelar,studio/AuraStudio/Sources/AuraStudio/Views/DeviceActivityBar.swift,180,Text,Cancelar,Cancelar,no,16
background-task-center-indicator.cancelar,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,160,Button,Cancelar,Cancelar,no,16
background-task-center-indicator.cancelar,studio/AuraStudio/Sources/AuraStudio/Views/MediaInfoView.swift,289,Button,Cancelar,Cancelar,no,16
background-task-center-indicator.cancelar,studio/AuraStudio/Sources/AuraStudio/Views/MediaSectionView.swift,1404,Button,Cancelar,Cancelar,no,16
background-task-center-indicator.cancelar,studio/AuraStudio/Sources/AuraStudio/Views/MediaSectionView.swift,1490,Button,Cancelar,Cancelar,no,16
background-task-center-indicator.cancelar,studio/AuraStudio/Sources/AuraStudio/Views/PhotoAlbumsView.swift,568,Button,Cancelar,Cancelar,no,16
background-task-center-indicator.cancelar,studio/AuraStudio/Sources/AuraStudio/Views/PrivilegedActionSheet.swift,34,Button,Cancelar,Cancelar,no,16
